merchant,merchant_type,category,amt,distance,lat,long,hour,day,month,cc_num,label
Amazon,Online,electronics,18789.55,475.36,26.618917738474345,69.49876991388962,23,9,5,4228908053162473,0
Amazon,Online,utilities,36626.5,299.37,10.440058984856416,83.4092843154763,23,29,5,4604136171878809,0
Flipkart,Wholesale,electronics,7885.33,78.08,12.6872327087438,83.6784185266931,6,8,5,4574886833016361,0
Myntra,Wholesale,fashion,2998.37,433.1,34.0580714672853,86.48546714344799,14,19,5,4828108028583755,0
Paytm,Wholesale,utilities,30095.64,354.07,25.58644273012811,89.05664867795718,13,11,5,4159472646369774,0
Amazon,Online,electronics,1127.17,484.96,8.26671449688226,96.29971030441351,12,4,5,4867762902242161,0
BigBazaar,Online,health,41638.89,106.25,10.942674743114932,82.97271010073466,1,24,5,4549516278088865,0
Amazon,Wholesale,food,9173.07,91.78,27.24155130413362,77.36573771529613,9,27,5,4591873919986476,0
Amazon,Retail,electronics,15281.69,262.43,8.146785931540341,91.0603996482924,21,8,5,4081357076632102,0
Amazon,Wholesale,travel,21654.06,145.69,12.663433491107462,75.85413528660015,8,15,5,4166488136971784,0
Snapdeal,Wholesale,utilities,30631.46,69.83,23.913279891631,80.73017120046345,8,23,5,4623287410804707,0
Snapdeal,Online,fashion,14678.02,183.24,28.064960733088103,70.27523505892572,14,13,5,4947858663022120,0
Snapdeal,Wholesale,utilities,22857.89,392.61,26.906876525575417,68.73517155904827,10,27,5,4234137889353643,0
Reliance Digital,Online,travel,10063.72,257.17,14.503809974356233,95.91680402565983,8,3,5,4935726820024292,0
Reliance Digital,Retail,fashion,29661.49,23.32,28.65319741907854,92.24342349485397,20,16,5,4905808302588517,0
Zomato,Wholesale,fashion,30416.49,85.35,14.880223537407202,88.18325197671724,8,5,5,4762690821577339,0
BigBazaar,Retail,utilities,3346.07,474.45,17.436591246618764,79.85963538801383,18,14,5,4370254608246768,0
Zomato,Wholesale,electronics,48285.04,404.22,29.6482507484227,73.02553528205453,1,28,5,4156274493552068,0
Myntra,Retail,food,15300.23,48.93,26.839354072369225,72.5366742374615,2,13,5,4610615379416985,0
BigBazaar,Online,food,34243.23,220.13,32.627478904331156,75.25704404677326,0,22,5,4698692210657021,0
BigBazaar,Wholesale,health,6189.71,247.64,27.070773876709957,83.92757327647749,20,11,5,4300273665994394,0
Zomato,Wholesale,electronics,1815.99,454.67,24.480949496728677,88.72328175830181,23,29,5,4995939668623711,0
Paytm,Retail,food,13013.12,331.29,10.716568267014683,87.1457239248142,3,28,5,4861656795048359,0
Snapdeal,Online,fashion,15654.38,260.08,18.66375828872357,76.11808301143235,11,25,5,4552958793742143,0
Flipkart,Retail,food,27380.84,92.51,15.690868662770038,95.69109313923263,10,16,5,4114499127439409,0
BigBazaar,Retail,fashion,48482.27,387.59,15.075699657993423,89.39901058417729,1,8,5,4087635719463887,0
Amazon,Online,health,46981.0,447.42,36.21730608782092,84.07626752283062,17,25,5,4131622524651020,0
Paytm,Retail,groceries,29935.21,460.94,19.39983401533605,85.73990164079622,16,28,5,4987931244947195,0
Snapdeal,Retail,utilities,4515.78,98.07,33.86935010013629,80.16840181040591,9,13,5,4448670799496139,0
Zomato,Wholesale,electronics,2356.84,162.73,26.303020153920624,75.18419869553357,7,8,5,4346744335435865,0
Snapdeal,Retail,food,19495.0,135.75,31.049527802707804,78.32320768088658,7,1,5,4724167135076022,0
Snapdeal,Wholesale,electronics,41454.0,178.44,22.576475700050572,89.97753720346671,1,28,5,4072359906321488,0
BigBazaar,Online,utilities,14118.63,271.39,24.730212654164415,68.41741117026292,15,7,5,4740733812803930,0
Zomato,Retail,fashion,7132.12,401.12,22.283013120747054,71.36610657470057,15,26,5,4194203484341332,0
Myntra,Online,groceries,3820.08,493.44,13.66204664614329,69.33407661863083,13,14,5,4884158965931802,0
Amazon,Wholesale,electronics,38635.01,99.44,28.951111342583655,69.18113526725013,12,24,5,4819219664972382,0
Snapdeal,Wholesale,fashion,375.55,407.75,16.14239851078482,92.80835693631921,6,18,5,4143299380463457,0
BigBazaar,Wholesale,travel,35372.18,364.53,8.705163026512162,88.40607792202069,7,28,5,4453704971771246,0
Amazon,Retail,electronics,38586.39,37.11,26.718696581307867,81.75104104353242,20,18,5,4992281403868608,0
Myntra,Wholesale,travel,17987.44,58.02,13.136209702804418,70.83719065887904,15,7,5,4924280640463568,0
Myntra,Wholesale,electronics,43168.86,311.69,35.27329894623452,82.25686037838814,12,9,5,4292866320981994,0
Zomato,Retail,fashion,16611.81,31.87,35.66392873307503,81.73068135263641,6,10,5,4991735906343638,0
Flipkart,Retail,utilities,15618.02,162.66,34.531067316393006,73.02285422739044,10,2,5,4598651803604970,0
Paytm,Retail,electronics,36507.35,318.81,18.73460230740789,80.58169782790122,16,3,5,4070175570100353,0
Snapdeal,Wholesale,travel,44371.92,236.16,8.448241879337155,79.55663729752384,3,31,5,4592145503113302,0
Amazon,Wholesale,travel,6067.75,356.65,34.921238315044036,85.85965284351428,21,19,5,4957324458279522,0
Reliance Digital,Retail,fashion,38063.17,280.68,20.417340301202117,86.41771587516166,8,13,5,4687429189919272,0
Zomato,Retail,groceries,38571.26,246.95,36.03298975226642,69.31381628338929,2,1,5,4636722763619778,0
Amazon,Online,electronics,26184.37,213.83,35.94497933558833,78.86376582416767,17,7,5,4135486260407870,0
Amazon,Online,fashion,1368.41,54.03,32.737274208553444,86.14993755571285,11,10,5,4448700581361458,0
BigBazaar,Retail,food,1668.32,318.24,16.539017870017986,82.59095149882255,20,17,5,4683709099824282,1
BigBazaar,Retail,utilities,15786.36,254.33,19.167834129455834,92.83820539446134,3,31,5,4270916503502249,1
Paytm,Online,groceries,45387.57,124.72,32.68296347398885,87.10211531694941,9,20,5,4734324810959018,1
BigBazaar,Retail,food,20578.11,377.8,17.190738149532052,72.72509838536146,15,9,5,4094566580698915,1
BigBazaar,Wholesale,electronics,11517.03,38.58,12.915289653896682,70.04649367461246,0,11,5,4652391971008994,1
Paytm,Wholesale,utilities,14558.6,80.69,24.147236611292154,86.63015906798316,14,18,5,4574220300615334,1
Amazon,Wholesale,utilities,46491.91,404.08,35.14848845066265,68.76882800570704,4,18,5,4854741535897688,1
Paytm,Retail,travel,31706.85,435.74,28.184864103574217,84.98749185693043,4,2,5,4373146646362417,1
Reliance Digital,Retail,fashion,40203.24,93.37,24.531773932591584,95.26667700132377,21,8,5,4362717530897084,1
Myntra,Online,food,44638.69,269.72,10.818118319352287,84.68875115840049,23,5,5,4885992493718889,1
Paytm,Retail,travel,40391.26,448.06,25.835209574275922,79.25692785998913,0,6,5,4801554969389865,1
Snapdeal,Retail,groceries,15968.37,55.11,36.71156165302364,86.65535833482824,5,26,5,4391142400633488,1
Zomato,Online,fashion,11473.96,213.61,12.062436441859198,81.28933382425399,6,27,5,4358345790651066,1
Flipkart,Retail,utilities,40918.94,430.38,23.031559918548368,83.82288689016211,6,13,5,4285176726811657,1
BigBazaar,Online,groceries,446.91,255.42,33.443819085910704,95.30247945451923,20,17,5,4695463080281895,1
Flipkart,Retail,electronics,20928.81,111.13,29.482289914871927,79.19697649622245,8,6,5,4039753300614396,1
Myntra,Retail,groceries,6081.28,168.87,28.21345648886277,95.87452635089352,23,26,5,4446226750596909,1
Myntra,Retail,food,47151.19,161.67,28.37203843562617,94.25516861672585,6,9,5,4725101872852789,1
Snapdeal,Retail,groceries,25987.65,351.54,18.4252433853729,73.67794290888959,13,3,5,4638827197730438,1
Amazon,Wholesale,utilities,18245.12,485.89,16.51416348367031,70.01147772537979,9,17,5,4682458236319765,1
Myntra,Wholesale,utilities,48126.12,125.97,31.471473508876894,70.92256203994538,9,18,5,4196831950243582,1
Myntra,Retail,utilities,24912.7,150.51,31.49328844569624,68.52843294389494,23,29,5,4630433156770265,1
Myntra,Wholesale,food,14313.54,18.54,33.145097238823006,70.73884586192193,0,10,5,4215965134782024,1
Reliance Digital,Online,travel,30517.26,251.39,34.48397602413767,87.80719642907435,14,15,5,4523973910680258,1
Paytm,Wholesale,utilities,2668.79,139.4,22.828929566967197,70.06447080534664,2,10,5,4095360924151492,1
BigBazaar,Online,fashion,45422.47,119.86,22.54397254592879,77.25029327851908,6,5,5,4047772055593219,1
Amazon,Online,travel,7330.25,244.78,31.15056019003648,92.50138401811418,13,29,5,4735523897613735,1
Zomato,Online,travel,49283.96,121.1,26.848953992555188,68.67488613633896,7,5,5,4914955156280853,1
Myntra,Wholesale,fashion,33639.56,380.83,28.357039440473397,91.61958599507913,5,26,5,4051372976979321,1
Amazon,Retail,travel,11958.11,364.14,31.07798741364693,76.1737884684286,4,26,5,4683755235594840,1
Reliance Digital,Retail,health,18452.38,316.19,33.81015491270942,71.42678000102804,14,20,5,4850705190332857,1
Zomato,Wholesale,fashion,31713.13,267.93,17.801859548694537,88.20537779556037,23,28,5,4460925746940063,1
Snapdeal,Online,health,4605.46,417.67,18.891905626558376,86.23934255661663,20,9,5,4641401675263897,1
Zomato,Wholesale,electronics,16106.93,93.34,10.725476255385201,93.44668839228453,22,10,5,4278449334805176,1
Amazon,Retail,fashion,2134.68,295.49,24.770124088889045,89.31706027031268,4,8,5,4710873750406882,1
Snapdeal,Wholesale,electronics,33910.46,8.39,9.04232594010552,91.3009469811606,13,14,5,4555557267663034,1
Flipkart,Wholesale,fashion,25653.44,113.33,21.502342525841343,76.17900260456788,13,13,5,4877941301014309,1
Myntra,Retail,travel,32294.12,87.27,23.736694406519725,73.14574676961196,0,31,5,4305528437913341,1
Myntra,Retail,food,34577.79,193.43,16.30969631172025,89.76782779758489,23,24,5,4499397295152191,1
Myntra,Online,travel,46842.83,68.85,25.13416455650131,91.39820743875066,0,13,5,4684979090220563,1
Myntra,Online,utilities,17119.21,56.83,8.884507248232433,96.72464911801953,5,27,5,4941686788125561,1
Flipkart,Retail,travel,46242.21,438.68,9.083097473727218,79.96591263043138,18,19,5,4085570912023998,1
Paytm,Online,health,12971.29,330.03,31.855416259130088,78.78852448799071,14,6,5,4266458110524275,1
Snapdeal,Retail,travel,40879.39,277.64,18.44552860092662,90.51597586151792,10,11,5,4284563134588274,1
BigBazaar,Wholesale,health,26529.56,121.0,11.684754866904658,77.88330266733752,2,16,5,4767158151362046,1
Reliance Digital,Online,fashion,4745.83,448.62,23.145054541589325,94.99196244250338,20,3,5,4772320105405793,1
Flipkart,Retail,food,45030.86,316.59,30.329813039859715,92.89396980344733,4,8,5,4484227429355441,1
Snapdeal,Wholesale,travel,17017.59,174.67,14.258809797408453,80.44082679387553,22,9,5,4171768322220181,1
Amazon,Wholesale,health,36325.19,448.57,26.063823798751006,89.77526096595342,5,31,5,4110128255235797,1
BigBazaar,Retail,food,44365.61,389.96,10.475076484819272,89.88174334845579,21,30,5,4406890022600581,1
